id,created_at,text - utf-8,simplified
1526823142429446145,2022-05-18 07:12:58+00:00,"b'turo saken ng buhay, maging mabait ka kahit hindi ganon ang turing nila sayo, lagi mong piliin ang umintindi kesa makipagtalo.'",turo saken ng buhay maging mabait ka kahit hindi ganon ang turing nila sayo lagi mong piliin ang umintindi kesa makipagtalo
1526823137492422659,2022-05-18 07:12:57+00:00,b'@alrstr Satru haha nag aaral nako mag YouTube nyan para lang gupitan sarili ko huhu',Satru haha nag aaral nako mag YouTube nyan para lang gupitan sarili ko huhu
1526823132970881024,2022-05-18 07:12:56+00:00,b'Need pa bang picturan? Haha https://t.co/PaaxeKuLZU',Need pa bang picturan Haha
1526823126926929920,2022-05-18 07:12:55+00:00,b'Masaya ako para Kay john. Natupad hiling niya I treat  magulang niya bonus pa na kasama ate niya.',Masaya ako para Kay john Natupad hiling niya I treat magulang niya bonus pa na kasama ate niya
1526823102126358528,2022-05-18 07:12:49+00:00,b'@ScottLEOWarrior @swapleonicorn $Leos $Leon #LeonicornSwap',Leos Leon LeonicornSwap
1526823099756228609,2022-05-18 07:12:48+00:00,b'Bakit pag uwian saka umuulan..\xf0\x9f\x92\xa7\xf0\x9f\x8c\xa7\xe2\x98\x94\xef\xb8\x8f',Bakit pag uwian saka umuulan
1526823097466507264,2022-05-18 07:12:48+00:00,b'@chitaglorya__ @Crypto_GA_Arena https://t.co/cOBh3By3mx',GA Arena
1526823096606289920,2022-05-18 07:12:47+00:00,b'Satu jam tuh cepet banget sih astaga',Satu jam tuh cepet banget sih astaga
1526823094597300225,2022-05-18 07:12:47+00:00,b'@lyka_galsim Hinakot lahat gamit niya sabay labas hahahahahaha \xf0\x9f\xa4\xa3',galsim Hinakot lahat gamit niya sabay labas hahahahahaha
1526823092189732864,2022-05-18 07:12:46+00:00,"b'Melinda Barlis, we get it now. https://t.co/sEl5tgea3e'",Melinda Barlis we get it now
1526823082123530240,2022-05-18 07:12:44+00:00,"b'Just posted a photo @ Manila, Philippines https://t.co/8OjnM9qsTb'",Just posted a photo Manila Philippines
1526823078759567360,2022-05-18 07:12:43+00:00,b'Ang cute ko',Ang cute ko
1526823064444338176,2022-05-18 07:12:40+00:00,b'@jhonfelip_ anong uu',anong uu
1526823057813147648,2022-05-18 07:12:38+00:00,"b'Who else remembers this ad? Kung may pera lang talaga ako nun, matagal ko na to binili! Haha. Yung binalatan ang patatas effortlessly??? https://t.co/TmsuGYqL6k'",Who else remembers this ad Kung may pera lang talaga ako nun matagal ko na to binili Haha Yung binalatan ang patatas effortlessly
1526823056194166785,2022-05-18 07:12:38+00:00,"b'Subscribe na po kayo sa yt page ni Jurno Christian Esguerra. Pramis, nakaka taba ng utak! \xe2\x98\xba\xef\xb8\x8f'",Subscribe na po kayo sa yt page ni Jurno Christian Esguerra Pramis nakaka taba ng utak
1526823018965528576,2022-05-18 07:12:29+00:00,b'Thank you for today \xf0\x9f\xa5\xb0 https://t.co/MXGi9N35rL',Thank you for today
1526823014213427200,2022-05-18 07:12:28+00:00,b'Iba yung trip nang buhay saken \xf0\x9f\x99\x83\xf0\x9f\x98\x87',Iba yung trip nang buhay saken
1526823009830326272,2022-05-18 07:12:27+00:00,b'Inaantok akoooo',Inaantok akoooo
1526823002805260289,2022-05-18 07:12:25+00:00,b'nanguyam man ni engr \xf0\x9f\x98\x82',nanguyam man ni engr
1526822992591745024,2022-05-18 07:12:23+00:00,b'send pusa',send pusa
1526822972203634688,2022-05-18 07:12:18+00:00,b'good luck saila if naa pa silay makaon paghuman kasal HAHAH',good luck saila if naa pa silay makaon paghuman kasal HAHAH
1526822969023922177,2022-05-18 07:12:17+00:00,b'hindi na naman makatulog',hindi na naman makatulog
1526822961562664960,2022-05-18 07:12:15+00:00,b'@ikatlonghiraya @jedweslee11 Hoy apaka oa hahaha may online training me.',Hoy apaka oa hahaha may online training me
1526822944558571520,2022-05-18 07:12:11+00:00,b'Good night fell.',Good night fell
1526822928498987009,2022-05-18 07:12:07+00:00,b'Hahahahahahah nahuli tuloy ako na nakauwi na \xf0\x9f\x98\x82',Hahahahahahah nahuli tuloy ako na nakauwi na
1526822906256191488,2022-05-18 07:12:02+00:00,b'Tagal nung ulan napapaligo na ako e HAHAHA',Tagal nung ulan napapaligo na ako e HAHAHA
1526822905450860544,2022-05-18 07:12:02+00:00,b'@zongcai94 Wag mo sabihin nasa Taguig ka na naman ngayon hahaha',Wag mo sabihin nasa Taguig ka na naman ngayon hahaha
1526822904222339072,2022-05-18 07:12:02+00:00,b'Shutaena. Hahahahaha. Yung comments and quote RTs tho. \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/pPEwjYfg6X',Shutaena Hahahahaha Yung comments and quote RTs tho
1526822903131815936,2022-05-18 07:12:01+00:00,b'@claudiopoy Omg para kang may wig???',Omg para kang may wig
1526822871456415745,2022-05-18 07:11:54+00:00,b'@Bang_Garr @CryptoNFTea_ https://t.co/jrAgp8qGgB',Garr
1526822841181609984,2022-05-18 07:11:46+00:00,b'City of Flowers \xf0\x9f\x8c\xba \xf0\x9f\x8c\xb9\xf0\x9f\x8c\xb8\xf0\x9f\x92\x90\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbc\xf0\x9f\x92\xae https://t.co/de7DWjb8RW',City of Flowers
1526822840854454277,2022-05-18 07:11:46+00:00,b'@windarinat https://t.co/MMcPLtqH8f\n\nMereka ga ada nomor telpon',Mereka ga ada nomor telpon
1526822838417891329,2022-05-18 07:11:46+00:00,b'bili moko nito salamat. @goldiethegold https://t.co/gnsscepuQ8',bili moko nito salamat
1526822833133060096,2022-05-18 07:11:45+00:00,b'Huy madam bat ganyan ka kay doc tricia https://t.co/SY5IhZSKIv',Huy madam bat ganyan ka kay doc tricia
1526822820898308097,2022-05-18 07:11:42+00:00,b'@kylnnhr smahan mo ko kapag nanalo hahaha https://t.co/WngCAqCBOd',smahan mo ko kapag nanalo hahaha
1526822817400233984,2022-05-18 07:11:41+00:00,b'Help! Kids are calling me Tito. I am that old na sa ilaha mata \xf0\x9f\xa5\xb2',Help Kids are calling me Tito I am that old na sa ilaha mata
1526822805589065728,2022-05-18 07:11:38+00:00,b'grabeng pagod\xf0\x9f\x98\xb4',grabeng pagod
1526822802589818881,2022-05-18 07:11:37+00:00,b'sugod naman sa ulan eh',sugod naman sa ulan eh
