id,created_at,text - utf-8,simplified
1.52683E+18,2022-05-18 07:31:35+00:00,b'Ooops. https://t.co/Wlb5KWAMls',Ooops
1.52683E+18,2022-05-18 07:31:35+00:00,"b""@mooolavin tulad ko lang na remember kung may ano sa saturday hahaha so shet kinanlan nga hubog hubog ko gyapon the next day. can't wait mag hampang ka binakal mo hahaha""",tulad ko lang na remember kung may ano sa saturday hahaha so shet kinanlan nga hubog hubog ko gyapon the next day can t wait mag hampang ka binakal mo hahaha
1.52683E+18,2022-05-18 07:31:33+00:00,b'katugnaw na sa opisina oy',katugnaw na sa opisina oy
1.52683E+18,2022-05-18 07:31:33+00:00,b'natutunga ak vss ngan ph piniste hahahah',natutunga ak vss ngan ph piniste hahahah
1.52683E+18,2022-05-18 07:31:32+00:00,"b""Face is getting leaner \xf0\x9f\x92\xaf\n\nPero Toshio (The Grudge) era na 'yung buhok ko \xf0\x9f\xa4\xa3\n\nfeat. saging \xf0\x9f\x8d\x8c https://t.co/BtawwTds1n""",Face is getting leaner Pero Toshio The Grudge era na yung buhok ko feat saging
1.52683E+18,2022-05-18 07:31:27+00:00,b'New contact lens for 1 year makakapag shades na \xf0\x9f\x98\x82',New contact lens for 1 year makakapag shades na
1.52683E+18,2022-05-18 07:31:26+00:00,b'Legit ba HAHAHA Girl Crush dawww omgggg',Legit ba HAHAHA Girl Crush dawww omgggg
1.52683E+18,2022-05-18 07:31:25+00:00,b'Trademark later HEHEHEHE skl #altercebu #altermandaue',Trademark later HEHEHEHE skl altercebu altermandaue
1.52683E+18,2022-05-18 07:31:25+00:00,b'Leg8 https://t.co/bpvCCneCl2',Leg8
1.52683E+18,2022-05-18 07:31:24+00:00,"b""@madoughnutz @CancerJepoy @CanlasCatalina @inquirerdotnet @GabrielLaluINQ Pati pag attend ng graduation issue. Back to you guys.\n\nAmbag ko for today's quota.""",Pati pag attend ng graduation issue Back to you guys Ambag ko for today s quota
1.52683E+18,2022-05-18 07:31:24+00:00,b'Finally!! Plus Jhong please https://t.co/pJkYm9ci5j',Finally Plus Jhong please
1.52683E+18,2022-05-18 07:31:23+00:00,b'F2f na hihihi !!! https://t.co/N196GPnd1l',F2f na hihihi
1.52683E+18,2022-05-18 07:31:18+00:00,b'HENDERY!!!!!! AHFAKNSAMSN',HENDERY AHFAKNSAMSN
1.52683E+18,2022-05-18 07:31:18+00:00,"b'@abeynz_qt nag abang na lang ako ng kulog at kidlat, ate. hahahaha. di tuloy ako matapos sa ginagawa ko, nakakaloka!'",qt nag abang na lang ako ng kulog at kidlat ate hahahaha di tuloy ako matapos sa ginagawa ko nakakaloka
1.52683E+18,2022-05-18 07:31:12+00:00,b'Gaguba gd ya bla momentum smg pickup lines ky my upod kmi nga slow hahahhaa',Gaguba gd ya bla momentum smg pickup lines ky my upod kmi nga slow hahahhaa
1.52683E+18,2022-05-18 07:31:12+00:00,b'Nabasa na naman tayo ng ulan\xe2\x80\xa6',Nabasa na naman tayo ng ulan
1.52683E+18,2022-05-18 07:31:11+00:00,b'ignored\xf0\x9f\xa5\xb4',ignored
1.52683E+18,2022-05-18 07:31:08+00:00,b'katawa nalang ta oy hahahahaha',katawa nalang ta oy hahahahaha
1.52683E+18,2022-05-18 07:31:07+00:00,"b""Jom's and Dave Unlimited Samgyupsal \xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d\xf0\x9f\xa4\xa9 https://t.co/BBCtstmhaN""",Jom s and Dave Unlimited Samgyupsal
1.52683E+18,2022-05-18 07:31:01+00:00,"b'Nagpa check up ako ng mata, 275-325 na grado ko for astigmatism \xf0\x9f\x98\xad'",Nagpa check up ako ng mata 275 325 na grado ko for astigmatism
1.52683E+18,2022-05-18 07:30:57+00:00,b'Nice one! \xf0\x9f\x91\x8f https://t.co/vAIIcUjjw7',Nice one
1.52683E+18,2022-05-18 07:30:57+00:00,"b""LoL it's not even just the mural. Again. Bagets being put into vad light. Ow please.""",LoL it s not even just the mural Again Bagets being put into vad light Ow please
1.52683E+18,2022-05-18 07:30:56+00:00,b'LF BOT DM ME #BAGETS18',LF BOT DM ME BAGETS18
1.52683E+18,2022-05-18 07:30:51+00:00,"b'Hoping to see you again, Siargao. Book na ba ako? Hahahaha chariz'",Hoping to see you again Siargao Book na ba ako Hahahaha chariz
1.52683E+18,2022-05-18 07:30:49+00:00,b'@lispuwantuha Just ignore dem Mr. Dimple',Just ignore dem Mr Dimple
1.52683E+18,2022-05-18 07:30:47+00:00,b'Mr. Jerusalem mao ni ang imo na ECG findings/result \n\nECG FINDINGS:\n- NO SUBJECTIVE COMPLAINTS\n- SINUS TACHYCARDIA\n-NON SPECIFIC ST-T WAVE CHANGES\n-NORMAL PE FINDINGS https://t.co/s0Roi7SNCv',Mr Jerusalem mao ni ang imo na ECG findings result ECG FINDINGS NO SUBJECTIVE COMPLAINTS SINUS TACHYCARDIA NON SPECIFIC ST T WAVE CHANGES NORMAL PE FINDINGS
1.52683E+18,2022-05-18 07:30:39+00:00,b'Alam ko may aso po kami. Pero kailangan pa ba talaga picturan? \xf0\x9f\x98\x8f https://t.co/rU4tiDodta',Alam ko may aso po kami Pero kailangan pa ba talaga picturan
1.52683E+18,2022-05-18 07:30:39+00:00,"b'Himala,walang nag-unfollow sakin these past few days. \xf0\x9f\xa4\x94'",Himala walang nag unfollow sakin these past few days
1.52683E+18,2022-05-18 07:30:37+00:00,"b'Filo RUis who will be joining the #BeginAgain_KPOP con, you might need the fanchant guide for #TooBad \xf0\x9f\x92\x99 Will try to create guides for other title tracks later \xf0\x9f\xab\xb0 https://t.co/RGeQdPcf6Y'",Filo RUis who will be joining the BeginAgain KPOP con you might need the fanchant guide for TooBad Will try to create guides for other title tracks later
1.52683E+18,2022-05-18 07:30:37+00:00,b'praktis lang at maulan https://t.co/Nt1uAG0yGe',praktis lang at maulan
1.52683E+18,2022-05-18 07:30:36+00:00,b'Kung may mag-chat sakin dito gora lang maghihintay nmn ako',Kung may mag chat sakin dito gora lang maghihintay nmn ako
1.52683E+18,2022-05-18 07:30:29+00:00,b'keeping my circle as small as it is and treasure all of them as much as I can',keeping my circle as small as it is and treasure all of them as much as I can
1.52683E+18,2022-05-18 07:30:23+00:00,b'Shhhh\xf0\x9f\x98\xb6',Shhhh
1.52683E+18,2022-05-18 07:30:19+00:00,b'Finger cross \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x98\xad https://t.co/XLXpadu7jN',Finger cross
1.52683E+18,2022-05-18 07:30:16+00:00,b'Guys my 5 hrs ba sa sogo?\nAsking from a friend. \xf0\x9f\x98\x84',Guys my 5 hrs ba sa sogo Asking from a friend
1.52683E+18,2022-05-18 07:30:16+00:00,b'Bat sila nakaka kilig? \xf0\x9f\xa5\xb0 https://t.co/UbzcRyu6KV',Bat sila nakaka kilig
1.52683E+18,2022-05-18 07:30:14+00:00,b'@GodofMEMORY @samdlvgn mas ewwww ka bayot hahahah',mas ewwww ka bayot hahahah
1.52683E+18,2022-05-18 07:30:14+00:00,"b'@kdestrada_ isa ka pa ginugulat mo si Mareng Cathy, ""MARUNONG din tong si KD, diba yung away nila parang totoo, iba yung asaran nila"" BARDAGULAN pa more pa nga with your ANO @alexailacad HAHAHA\n\n#AlexaIlacad #KDEstrada #KDLex #RunToMe https://t.co/Xjkor1E8Dc'",isa ka pa ginugulat mo si Mareng Cathy MARUNONG din tong si KD diba yung away nila parang totoo iba yung asaran nila BARDAGULAN pa more pa nga with your ANO HAHAHA AlexaIlacad KDEstrada KDLex RunToMe
1.52683E+18,2022-05-18 07:30:12+00:00,b'PLDT bakit nyo naman ako nai mute',PLDT bakit nyo naman ako nai mute
1.52683E+18,2022-05-18 07:30:09+00:00,b'@sidequest_wtf @NFTPrada EXP PLEASE \xf0\x9f\xa5\xb9',wtf EXP PLEASE
1.52683E+18,2022-05-18 07:30:09+00:00,b'@agoda why cancelled my booking when it is nearly on the check-in date??? i booked this a month or two prior! https://t.co/XQ2dKLVbuC',why cancelled my booking when it is nearly on the check in date i booked this a month or two prior
1.52683E+18,2022-05-18 07:30:01+00:00,b'Dasurv. https://t.co/ugg4CzoguX',Dasurv
1.52683E+18,2022-05-18 07:30:00+00:00,"b'Taena katamad mag duty, masarap kumain ngeyorlnss.'",Taena katamad mag duty masarap kumain ngeyorlnss
1.52683E+18,2022-05-18 07:29:57+00:00,"b'@ahgase_7got7 Nice, sikat ka na bhe, anong issue sayo?? Hahaha charot'",7got7 Nice sikat ka na bhe anong issue sayo Hahaha charot
1.52683E+18,2022-05-18 07:29:57+00:00,b'Aminin nalng natin naguguluhan talaga ako once pumasok nako sa relationship Sana sya nlng Yung focus mo Hindi Yung iba pinopokus mo kaya nag-aaway eh. Kaya ako tabi ko muna yan career muna',Aminin nalng natin naguguluhan talaga ako once pumasok nako sa relationship Sana sya nlng Yung focus mo Hindi Yung iba pinopokus mo kaya nag aaway eh Kaya ako tabi ko muna yan career muna
1.52683E+18,2022-05-18 07:29:56+00:00,b'@Flaxier 1',1
1.52683E+18,2022-05-18 07:29:52+00:00,b'First and last na nj na tiurok rawr',First and last na nj na tiurok rawr
1.52683E+18,2022-05-18 07:29:51+00:00,"b""i feel bad huhu i'm really sorry pls""",i feel bad huhu i m really sorry pls
1.52683E+18,2022-05-18 07:29:49+00:00,b'@menchie16 Hahaha! Kaya namimiss kita e!\xf0\x9f\x98\x98',Hahaha Kaya namimiss kita e
1.52683E+18,2022-05-18 07:29:48+00:00,b'Peter Pan was right all this time... \xf0\x9f\xa5\xba\n\nhttps://t.co/3GcawhaA4y',Peter Pan was right all this time
1.52683E+18,2022-05-18 07:29:44+00:00,b'tara na https://t.co/svXi4kscS2',tara na
1.52683E+18,2022-05-18 07:29:44+00:00,b'Kanus a paman ta ka answer ani uy mawad an man sad tag gana HAHAHAH',Kanus a paman ta ka answer ani uy mawad an man sad tag gana HAHAHAH
1.52683E+18,2022-05-18 07:29:43+00:00,b'Tara kape? \xf0\x9f\x98\x85\xf0\x9f\x98\x85\n\nWalay mang hagad birthday sex ngara kyawan lol hahaha\n\nTabunan ang resting bitch nga nawong ang bilbil lng sa ipa kita \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/CAN7TYdZOj',Tara kape Walay mang hagad birthday sex ngara kyawan lol hahaha Tabunan ang resting bitch nga nawong ang bilbil lng sa ipa kita
1.52683E+18,2022-05-18 07:29:40+00:00,b'Puke mo lang malakas pumutak mare. Wala ka namang bilang. Hahahhaha tangina. Mag aral ka nalang sabay paiyot sa bago mo. Baka mawala hangin jan sa puke mo',Puke mo lang malakas pumutak mare Wala ka namang bilang Hahahhaha tangina Mag aral ka nalang sabay paiyot sa bago mo Baka mawala hangin jan sa puke mo
1.52683E+18,2022-05-18 07:29:37+00:00,b'@nicoleravinaaa may kuhto ka yuck',may kuhto ka yuck
1.52683E+18,2022-05-18 07:29:36+00:00,b'Tauno man ako Tah nag uulat ako ka chat mo\xf0\x9f\x98\x94\xf0\x9f\x99\x81',Tauno man ako Tah nag uulat ako ka chat mo
1.52683E+18,2022-05-18 07:29:35+00:00,"b'Ito na, since marami nagtatanong. Pero sa post-grad, hindi mo kailangan maging matalino, ang kailangan mo maging masipag at dedikado.'",Ito na since marami nagtatanong Pero sa post grad hindi mo kailangan maging matalino ang kailangan mo maging masipag at dedikado
1.52683E+18,2022-05-18 07:29:34+00:00,b'Aw aw nasad ta ani \xf0\x9f\x98\x86 https://t.co/VCL8NSXbpp',Aw aw nasad ta ani
1.52683E+18,2022-05-18 07:29:28+00:00,b'@LukasAmorante @BLACKLISTINTL Hahahahahhaa nakakalito dbaaaa\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',Hahahahahhaa nakakalito dbaaaa
1.52683E+18,2022-05-18 07:29:27+00:00,b'Perks of being alone. Resting. \xf0\x9f\xa5\xb0 https://t.co/NsfeghsLyx',Perks of being alone Resting
1.52683E+18,2022-05-18 07:29:27+00:00,b'@arabelle_alfrz sa unsaaaa?',alfrz sa unsaaaa
1.52683E+18,2022-05-18 07:29:25+00:00,b'Taena buhay pa kooooo!! Naubos namin lahat yon??!! \xf0\x9f\x98\x82',Taena buhay pa kooooo Naubos namin lahat yon
1.52683E+18,2022-05-18 07:29:15+00:00,b'@pinkilitaa @mrsnihobi @Sopecart_ @amGieEra15 Oemgii yan daddy joonie HHAHAHAHAHHAAH',Oemgii yan daddy joonie HHAHAHAHAHHAAH
